STT,Nhom,Cau hoi chinh,Bien the (cach ngan ; ),Cau tra loi,Tag
1,A,"Nhà hàng Thiện Nga là gì, chuyên phục vụ những gì?",Thiện Nga làm dịch vụ gì vậy shop? ; Nhà hàng mình chuyên về gì? ; Thiện Nga bán gì ạ?,"Dạ, Nhà Hàng Tiệc Cưới Thiện Nga chuyên tổ chức sự kiện – cưới hỏi trọn gói: cho thuê nhà hàng/rạp sự kiện, nấu tiệc, lễ gia tiên, mâm quả, tiệc sinh nhật, bóng kích nổ trang trí, decor theo concept yêu cầu. Ngoài ra quán còn phục vụ các món nhậu bình dân, liên hoan, hội nghị hằng ngày.",gioi_thieu
2,A,"Nhà hàng ở đâu, địa chỉ cụ thể thế nào?",Địa chỉ quán ở đâu vậy ạ? ; Cho xin địa chỉ đi ạ ; Quán mình ở khu nào Vạn Ninh vậy?,"Dạ, Nhà hàng Thiện Nga tọa lạc tại Thôn Ninh Mã, xã Đại Lãnh, tỉnh Khánh Hòa (khu vực trước đây thuộc thị xã Vạn Ninh). Anh/chị có thể bấm ""Chỉ đường"" trên nhahangthiennga.com hoặc tìm trên Google Maps theo tên ""Nhà Hàng Tiệc Cưới Thiện Nga"".",dia_chi
3,A,Số điện thoại/hotline liên hệ là gì?,Cho xin số hotline ; SĐT đặt tiệc là bao nhiêu? ; Liên hệ số nào để tư vấn?,Dạ anh/chị liên hệ hotline 0965 626 128 để được tư vấn và đặt tiệc trực tiếp. Nhà hàng luôn sẵn sàng hỗ trợ trong giờ hoạt động.,hotline
4,A,Nhà hàng có website đặt tiệc online không?,Có web đặt bàn online không? ; Đặt tiệc qua mạng được không?,"Dạ có ạ, anh/chị tham khảo thực đơn, hình ảnh, giá cả và đặt tiệc online qua nhahangthiennga.com, hoặc nhắn Zalo https://zalo.me/0965626128, hoặc Fanpage Facebook ""Nhà Hàng Tiệc Cưới THIỆN NGA"".",website
5,A,thienngawedding.com và nhahangthiennga.com có phải cùng 1 nhà hàng không?,2 web này có phải 1 chỗ không? ; Sao có 2 website vậy ạ?,"Dạ đây đều là các kênh online của cùng một cơ sở Thiện Nga tại Thôn Ninh Mã, xã Đại Lãnh, Khánh Hòa. nhahangthiennga.com tập trung giới thiệu dịch vụ nấu tiệc tại gia, tiệc cưới trọn gói và 40 thực đơn cưới; thienngawedding.com giới thiệu thêm không gian quán ăn/quán nhậu tại chỗ. Cùng 1 hotline sẽ tư vấn đầy đủ cả hai hình thức.",phan_biet_website
6,A,"Nhà hàng mở cửa giờ nào, có nghỉ ngày nào không?",Giờ mở cửa thế nào ạ? ; Chủ nhật có mở không?,"Dạ, nhà hàng hoạt động 08:00 – 20:00 tất cả các ngày trong tuần. Riêng giờ tổ chức tiệc cụ thể sẽ theo thỏa thuận khi đặt tiệc.",gio_mo_cua
7,A,Nhà hàng có bao nhiêu năm kinh nghiệm / uy tín không?,Quán mở lâu chưa ạ? ; Có ai đánh giá review chưa?,"Dạ, Thiện Nga là nhà hàng tiệc cưới quen thuộc tại khu vực Vạn Ninh – Khánh Hòa, đã đồng hành cùng rất nhiều cặp đôi và gia đình tổ chức tiệc cưới, tiệc thôi nôi, liên hoan... Anh/chị có thể xem thêm hình ảnh tiệc thực tế trên Fanpage.",uy_tin
8,A,Nhà hàng có phục vụ cả tiệc cưới lẫn quán nhậu bình dân không?,Vừa làm tiệc cưới vừa bán nhậu hả? ; Ngày thường có bán không?,"Dạ đúng ạ, ngoài mảng tổ chức tiệc cưới – sự kiện trọn gói, Thiện Nga còn phục vụ quán nhậu bình dân hằng ngày với các món hải sản, món nhậu quen thuộc, phù hợp gia đình, bạn bè, liên hoan nhỏ.",quan_nhau
9,A,Nhà hàng có phải cơ sở hộ gia đình hay công ty?,Đây là hộ kinh doanh hay công ty ạ?,"Dạ, Thiện Nga là cơ sở nhà hàng chuyên tổ chức tiệc cưới – sự kiện tại địa phương. Cần hóa đơn, chứng từ cụ thể, em sẽ nhờ bộ phận kế toán hỗ trợ trao đổi trực tiếp qua hotline.",phap_ly
10,A,Có cần đặt lịch hẹn trước khi đến xem địa điểm không?,Muốn đến xem quán trước có cần hẹn không? ; Ghé tham quan trực tiếp được không?,"Dạ được ạ, anh/chị nên nhắn hotline trước để nhà hàng sắp xếp thời gian đón tiếp và tư vấn chu đáo hơn.",hen_xem_dia_diem
